epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6076,1.85652,5.55222,1.9356,0.43288,0.10369,0.07208,0.0334,2.0608,5.40663,1.99048,0.000249405,0.000249405,0.000249405
2,70.3582,1.76803,3.26747,1.79823,0.03715,0.17691,0.02985,0.01351,2.22965,6.33353,2.14271,0.000500732,0.000500732,0.000500732
3,104.11,1.80608,2.99168,1.85456,0.39475,0.08393,0.04144,0.01801,2.39202,4.06138,2.24513,0.000746983,0.000746983,0.000746983
4,137.445,1.82356,2.88741,1.88613,0.47941,0.16332,0.07588,0.02746,2.27546,9.44654,2.39191,0.000746161,0.000746161,0.000746161
5,172.449,1.80433,2.68036,1.84659,0.7831,0.07931,0.07028,0.02646,2.3211,4.6534,2.39436,0.000738548,0.000738548,0.000738548
6,208.603,1.73621,2.55675,1.81564,0.34859,0.1273,0.06375,0.02291,2.30757,4.44881,2.26658,0.000730935,0.000730935,0.000730935
7,245.832,1.71067,2.48321,1.8019,0.34157,0.1375,0.08261,0.03992,2.16213,3.99013,2.16903,0.000723321,0.000723321,0.000723321
8,283.599,1.66807,2.41821,1.78846,0.42796,0.11186,0.08282,0.03527,2.3237,4.07095,2.24318,0.000715708,0.000715708,0.000715708
9,332.574,1.63254,2.31045,1.77114,0.37773,0.12266,0.09555,0.04404,2.36805,3.50641,2.30346,0.000708095,0.000708095,0.000708095
10,399.338,1.61555,2.24639,1.73085,0.46048,0.11895,0.07075,0.03472,2.45832,3.56109,2.35867,0.000700482,0.000700482,0.000700482
11,467.938,1.57877,2.09685,1.70867,0.38914,0.12735,0.10299,0.05055,2.16128,3.39226,2.14856,0.000692869,0.000692869,0.000692869
12,518.448,1.54314,1.98951,1.66203,0.24031,0.15669,0.10789,0.04728,2.33454,3.59784,2.28345,0.000685256,0.000685256,0.000685256
13,566.652,1.52893,1.97918,1.67062,0.4246,0.14327,0.14008,0.0648,2.14274,3.35608,2.12291,0.000677643,0.000677643,0.000677643
14,604.031,1.47345,1.91304,1.65893,0.35653,0.15069,0.11537,0.06051,2.05309,3.31799,2.09509,0.00067003,0.00067003,0.00067003
15,642.64,1.53464,1.95161,1.69034,0.50118,0.17058,0.16565,0.0809,2.21864,3.1668,2.16335,0.000662417,0.000662417,0.000662417
16,679.712,1.43961,1.81646,1.59639,0.45114,0.17418,0.17765,0.0897,2.2029,3.00073,2.13186,0.000654804,0.000654804,0.000654804
17,715.114,1.47251,1.77892,1.61089,0.2964,0.21873,0.14418,0.07044,2.103,3.28375,2.08835,0.00064719,0.00064719,0.00064719
18,748.156,1.42567,1.70517,1.55719,0.48115,0.1844,0.13442,0.06167,2.20527,3.38701,2.16856,0.000639577,0.000639577,0.000639577
19,780.877,1.38763,1.66196,1.5546,0.34194,0.19735,0.15783,0.08075,2.21614,3.05029,2.19701,0.000631964,0.000631964,0.000631964
20,813.65,1.37443,1.65618,1.55091,0.28365,0.19522,0.14317,0.06858,2.2374,3.24415,2.21147,0.000624351,0.000624351,0.000624351
21,847.043,1.34752,1.57813,1.49967,0.44849,0.17219,0.15607,0.08293,2.10221,3.0914,2.08697,0.000616738,0.000616738,0.000616738
22,879.879,1.31584,1.49772,1.49827,0.48974,0.18469,0.15581,0.08297,2.23778,3.22737,2.1672,0.000609125,0.000609125,0.000609125
23,912.598,1.27752,1.48542,1.47715,0.47602,0.16293,0.13473,0.06823,2.14655,3.30783,2.11402,0.000601512,0.000601512,0.000601512
24,945.882,1.32235,1.50819,1.50231,0.24206,0.20129,0.16617,0.08743,2.05349,3.02898,2.08236,0.000593899,0.000593899,0.000593899
25,979.168,1.26796,1.42273,1.46596,0.1795,0.20996,0.16016,0.07598,2.24723,3.06635,2.201,0.000586286,0.000586286,0.000586286
26,1012.87,1.25447,1.39286,1.4368,0.42776,0.19246,0.17542,0.08937,2.05777,2.86355,2.08446,0.000578672,0.000578672,0.000578672
